央视高清,#genre#
CCTV13,http://111.23.232.117:80/180000001001/00000001000000000045000000287929/main.m3u8
CCTV14,http://111.23.232.117:80/180000001001/00000001000000001001000000000059/main.m3u8
CCTV15,http://111.23.232.117:80/180000001001/00000001000000001019000000352948/main.m3u8
CCTV16,http://111.23.232.117:80/180000001001/00000001000000000075000000041062/main.m3u8
CCTV17高清,http://111.23.232.117:80/180000001001/00000001000000001018000000188913/main.m3u8

CGTN,http://111.23.232.117:80/180000001001/00000001000000000002000000028019/main.m3u8
CGTN纪录,http://111.23.232.117:80/180000001001/00000001000000000002000000028012/main.m3u8
CETV-1,http://111.23.232.117:80/180000001001/00000001000000001007000000063289/main.m3u8
CCTV1,http://36.158.166.3:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV2,http://36.158.166.3:8089/180000001002/00000001000000000008000000047431/main.m3u8
CCTV3,http://36.158.166.3:8089/180000001002/00000001000000000008000000047432/main.m3u8
CCTV4,http://36.158.166.3:8089/180000001002/00000001000000000008000000047433/main.m3u8
CCTV4欧洲,http://36.158.166.3:8089/180000001002/00000001000000000071000000305577/main.m3u8
CCTV4美洲,http://36.158.166.3:8089/180000001002/00000001000000000071000000305581/main.m3u8
CCTV5,http://36.158.166.3:8089/180000001002/00000001000000000008000000047434/main.m3u8
CCTV5+,http://36.158.166.3:8089/180000001002/00000001000000000008000000047442/main.m3u8
CCTV5+,http://36.158.166.3:8089/180000001002/00000001000000000008000000047442/main.m3u8
CCTV6,http://36.158.166.3:8089/180000001002/00000001000000000008000000047435/main.m3u8
CCTV7,http://36.158.166.3:8089/180000001002/00000001000000000008000000047436/main.m3u8
CCTV8,http://36.158.166.3:8089/180000001002/00000001000000000008000000047437/main.m3u8
